living_area_sqft,lot_area_sqft,overall_quality,year_built,renovation_year,bedrooms,bathrooms,garage_spaces,distance_downtown_km,school_score,crime_index,transit_score,energy_efficiency,mortgage_rate_pct,unemployment_rate_pct,neighborhood,home_type,condition,heating_type,sale_price
1190.3,6676.9,6,1977,1977,5,1.5,3.0,3.44,67.3,10.8,57.2,35.9,4.23,4.16,EastMarket,Townhouse,Good,Gas,619467.0
1898.2,8961.3,6,2024,2024,3,1.5,3.0,16.59,86.7,19.1,24.0,72.8,5.12,5.87,LakeView,Detached,Fair,Gas,724727.0
1146.1,2460.3,5,1963,2023,1,1.5,1.0,4.53,71.7,7.7,69.3,30.8,6.2,6.8,Downtown,Condo,Good,Gas,516778.0
2303.9,6972.1,4,1949,1987,3,2.0,2.0,3.07,80.6,14.6,92.7,32.2,5.24,8.42,OldTown,Detached,Fair,Gas,665405.0
1619.0,3671.9,6,2010,2015,2,2.0,0.0,3.18,61.0,36.3,100.0,67.0,5.44,6.02,OldTown,Condo,Average,Gas,595507.0
1538.1,8288.4,1,2017,2019,3,2.5,0.0,6.85,58.6,29.9,83.1,78.9,6.61,7.64,LakeView,Condo,Excellent,HeatPump,514241.0
1273.8,7116.7,6,1934,2014,4,1.5,2.0,2.45,81.0,5.5,78.7,30.6,7.62,3.94,SouthGate,Detached,Excellent,Electric,689915.0
2625.7,11247.9,5,1953,2013,4,2.5,2.0,2.65,68.4,8.4,75.0,38.5,6.52,7.69,GreenValley,Detached,Average,Gas,980307.0
1555.9,13655.9,8,1950,1950,4,2.0,1.0,6.76,45.8,12.6,99.5,39.7,6.44,5.63,OldTown,Condo,Average,HeatPump,620169.0
1402.2,9482.8,8,2006,2006,4,1.5,1.0,5.26,69.9,20.5,100.0,65.7,6.16,3.63,OldTown,Detached,Good,Gas,722858.0
1443.3,12065.1,8,1949,2022,3,2.0,1.0,16.61,,47.0,54.9,24.5,6.07,6.41,EastMarket,Duplex,Excellent,HeatPump,677325.0
2019.9,5835.0,6,1990,1990,1,2.0,2.0,7.96,83.0,42.3,81.6,42.7,3.58,3.38,LakeView,Detached,Average,Gas,801487.0
1895.8,39171.6,4,2018,2019,6,1.0,1.0,7.96,71.7,17.8,75.7,70.5,5.79,4.77,Downtown,Detached,Excellent,District,943204.0
1930.2,3465.3,5,2016,2016,6,2.0,2.0,9.34,77.7,13.7,67.3,58.0,5.27,6.36,Downtown,Detached,Average,Gas,674175.0
1943.5,5245.8,7,2013,2013,4,2.0,2.0,14.96,60.5,20.0,57.7,74.6,5.26,3.67,WestPark,Townhouse,Excellent,Gas,840681.0
3723.3,12365.3,3,1976,1976,3,2.0,2.0,8.59,50.4,60.0,54.8,68.0,6.72,6.45,OldTown,Detached,Average,Gas,593321.0
1413.9,11310.3,9,1984,1984,5,2.0,2.0,9.13,59.6,41.4,61.0,58.3,7.41,3.94,Hillcrest,Detached,Excellent,Gas,830456.0
1358.1,9645.7,6,1996,1996,2,2.5,2.0,1.48,64.2,13.6,92.5,62.6,4.4,7.17,WestPark,Duplex,Good,HeatPump,726880.0
1211.1,10797.0,7,1953,2001,4,2.0,2.0,11.72,69.3,42.4,80.9,50.2,4.27,5.37,SouthGate,Detached,Good,District,719379.0
2085.2,2062.6,3,1973,1973,2,1.5,-0.0,5.53,72.5,12.0,79.8,32.8,4.73,4.56,NorthHeights,Detached,Good,Gas,626465.0
2534.0,18683.9,5,1969,1989,4,2.0,2.0,4.93,62.3,16.4,100.0,52.8,5.21,6.8,SouthGate,Townhouse,Average,Electric,759915.0
1580.1,6370.9,3,2004,2004,2,1.5,1.0,4.22,49.4,21.3,71.9,55.0,5.8,3.17,Hillcrest,Duplex,Average,Gas,443452.0
1199.0,15204.9,8,1980,1980,3,3.0,2.0,2.63,84.3,22.2,89.0,63.6,4.62,6.84,SouthGate,Detached,Average,Electric,785417.0
1206.2,2125.4,6,1967,1967,5,1.5,1.0,11.2,56.4,17.8,77.5,44.4,4.03,4.97,GreenValley,Detached,Fair,Electric,562313.0
2112.8,8398.2,7,1977,1977,5,2.0,1.0,4.36,84.5,6.0,76.3,42.7,4.35,6.2,OldTown,Townhouse,Average,HeatPump,912500.0
2188.5,5134.5,6,1938,1938,2,2.5,1.0,15.81,99.6,38.0,69.9,23.4,6.44,6.21,EastMarket,Detached,Good,HeatPump,735792.0
2028.3,10148.8,7,1947,1947,4,1.5,-0.0,17.43,64.6,20.8,78.4,32.8,4.81,5.92,University,Detached,Average,Gas,745959.0
1281.3,8708.7,6,2004,2004,3,1.5,2.0,24.72,37.3,30.7,20.6,72.3,5.12,3.52,EastMarket,Detached,Good,Gas,568671.0
1802.2,8968.4,6,1933,1933,3,2.5,1.0,6.45,70.4,17.9,73.4,38.8,4.48,4.24,SouthGate,Detached,Good,Electric,768776.0
1724.8,,6,1992,1992,3,2.5,2.0,2.84,73.0,27.5,68.7,65.7,6.55,4.85,University,Detached,Good,HeatPump,762998.0
1793.0,6958.1,7,2016,2016,3,1.5,1.0,1.49,69.9,47.1,71.4,68.6,5.61,5.82,Hillcrest,Detached,Fair,Gas,754070.0
2297.7,6462.3,7,1992,1998,2,1.5,2.0,5.25,,7.7,95.3,58.9,5.34,8.66,GreenValley,Condo,Good,HeatPump,876499.0
1796.3,9691.7,10,1987,1987,7,2.0,2.0,5.57,77.1,14.7,88.8,54.0,5.93,6.67,NorthHeights,Duplex,Excellent,Gas,1011839.0
2135.6,13035.3,9,1996,1996,4,2.5,1.0,9.33,63.1,21.0,61.1,72.5,5.14,5.82,Hillcrest,Detached,Good,Electric,1092625.0
1692.9,7880.3,3,1935,2003,1,1.5,1.0,8.51,49.9,16.8,81.9,41.3,3.93,7.53,Hillcrest,Condo,Poor,Gas,419069.0
1841.6,3348.0,6,1934,1934,3,2.0,2.0,6.75,62.8,19.4,56.6,46.8,4.91,6.25,TechDistrict,Detached,Good,Gas,843110.0
2097.3,7680.1,6,2024,2024,4,1.5,0.0,3.44,64.9,7.8,85.4,75.5,6.13,7.17,GreenValley,Detached,Average,Gas,864116.0
948.4,34492.0,8,1965,1965,5,2.0,2.0,12.24,67.1,28.0,59.8,47.3,6.38,6.48,TechDistrict,Detached,Average,Electric,760480.0
1461.3,19330.5,6,1963,1982,3,2.0,1.0,2.95,67.2,57.5,86.8,37.5,8.93,2.88,Downtown,Detached,Fair,District,650497.0
1379.9,,7,1936,1985,2,1.0,1.0,21.97,56.7,21.7,36.7,44.0,6.0,5.28,Downtown,Detached,Excellent,District,624877.0
1294.3,7478.9,2,1997,1997,4,1.5,2.0,5.35,79.8,22.6,72.4,61.6,4.02,4.21,SouthGate,Condo,Good,Gas,389031.0
1486.2,12595.7,4,1923,2012,5,1.5,0.0,6.45,57.8,37.8,88.9,10.0,6.39,6.39,WestPark,Detached,Good,Gas,625264.0
2912.0,6453.9,10,1938,1984,4,2.5,2.0,13.37,65.3,27.2,60.2,23.3,5.65,3.82,Downtown,Condo,Good,Gas,1045277.0
1187.4,5463.2,6,1943,2012,3,1.0,0.0,17.28,71.3,53.9,57.5,30.3,2.68,8.12,NorthHeights,Detached,Average,Gas,586164.0
2383.9,6134.3,5,2018,2018,3,2.5,1.0,8.85,59.1,22.7,62.2,70.6,3.76,4.51,NorthHeights,Detached,Good,Electric,888321.0
870.5,10028.1,7,2020,2024,2,1.5,0.0,18.67,,19.3,27.4,92.4,4.27,5.21,SouthGate,Condo,Fair,Gas,501406.0
1452.8,3614.7,4,1928,2006,7,2.5,1.0,7.69,66.0,13.4,70.2,20.0,6.72,7.04,LakeView,Duplex,Average,Gas,625949.0
1755.3,14691.9,6,1934,1934,2,1.0,2.0,7.53,69.7,23.2,58.7,31.5,6.24,2.49,SouthGate,Duplex,Average,Gas,655312.0
2061.7,6962.1,4,2021,2021,3,2.0,1.0,2.0,48.3,18.0,84.3,75.3,5.43,7.05,SouthGate,Detached,Excellent,HeatPump,1144501.0
2162.0,4108.5,5,1987,1987,3,2.0,2.0,12.31,73.6,51.4,75.0,75.7,5.58,5.47,GreenValley,Condo,Good,Gas,732287.0
2230.5,14135.5,5,1997,2006,6,2.0,1.0,19.98,64.1,24.4,37.1,60.2,6.5,7.79,EastMarket,Townhouse,Average,HeatPump,400436.0
1445.2,2849.1,8,1980,2018,2,2.0,1.0,23.53,66.2,20.9,55.0,37.0,6.35,4.81,WestPark,Duplex,Average,District,584831.0
1384.1,5160.1,7,1944,1944,5,2.0,2.0,12.78,88.7,29.3,65.2,55.2,4.46,5.57,SouthGate,Detached,Excellent,District,691790.0
2286.0,5109.4,7,1997,1997,3,1.0,1.0,6.12,76.7,17.4,100.0,59.2,6.21,3.74,OldTown,Townhouse,Average,Gas,808891.0
1534.3,26061.2,6,1939,1939,1,2.5,1.0,5.25,55.4,16.1,80.7,36.1,6.96,5.83,OldTown,Detached,Fair,Gas,628188.0
1016.1,4773.4,8,1923,1923,4,1.5,0.0,12.1,65.9,10.2,70.0,23.0,6.3,9.55,OldTown,Detached,Poor,HeatPump,458545.0
1072.6,1976.1,5,2008,2008,4,1.5,1.0,14.22,59.4,32.1,33.6,48.8,4.25,6.56,WestPark,Duplex,Good,Electric,513749.0
1163.4,5078.4,5,1960,1960,7,1.5,1.0,4.16,76.6,10.7,74.0,53.0,5.78,6.7,TechDistrict,Condo,Good,Gas,642249.0
1993.1,9463.2,7,1924,1924,4,2.0,0.0,12.47,62.1,22.9,57.7,36.5,4.1,7.09,WestPark,Duplex,Average,District,763280.0
1741.8,11525.2,6,1966,2004,4,1.0,1.0,3.11,60.9,16.6,100.0,39.8,4.26,5.95,GreenValley,Detached,Average,District,807675.0
2145.0,28219.3,6,1932,1932,3,1.0,2.0,5.36,55.2,15.2,70.3,32.2,4.2,3.32,SouthGate,Detached,Excellent,Gas,806957.0
1402.7,16747.0,6,1969,1969,6,2.5,1.0,26.66,77.1,45.7,45.0,42.1,6.93,4.74,Downtown,Detached,Average,District,594109.0
1752.5,8059.4,8,1991,2015,3,1.5,2.0,8.24,69.8,11.3,89.5,66.4,4.56,5.2,TechDistrict,Detached,Excellent,District,963075.0
2092.8,4217.5,8,1955,1955,3,2.0,1.0,3.8,60.4,31.4,70.8,45.9,3.63,5.62,OldTown,Detached,Average,Gas,869788.0
1467.0,19077.3,5,1928,1928,2,1.0,,10.71,41.9,29.2,74.8,27.1,4.38,4.66,OldTown,Detached,Average,Gas,434441.0
1962.8,5771.6,3,2014,2014,7,3.0,-0.0,2.03,57.0,29.3,87.7,72.4,5.81,5.65,OldTown,Townhouse,Average,Electric,458568.0
1283.1,4851.0,5,1977,1977,4,2.0,2.0,6.43,55.9,10.3,84.6,43.5,6.73,5.67,OldTown,Detached,Good,Gas,637611.0
1437.4,5606.0,5,1922,2003,3,1.5,2.0,5.76,61.3,8.9,80.1,10.0,4.84,6.98,SouthGate,Condo,Average,Gas,448195.0
1427.2,3396.4,8,1980,1980,2,2.5,1.0,11.11,86.4,14.1,62.1,62.0,7.04,4.47,SouthGate,Condo,Average,,622122.0
1047.4,5447.0,8,2017,2020,3,2.0,2.0,7.18,90.8,23.7,61.7,84.7,5.62,6.75,SouthGate,Detached,Good,Electric,589777.0
1985.4,6260.2,4,1921,1921,3,2.5,1.0,13.32,51.7,19.2,73.0,20.2,4.88,5.75,WestPark,Detached,Average,Gas,506860.0
1380.4,11161.6,5,2003,2021,3,2.0,2.0,2.37,53.7,12.7,70.7,74.6,4.84,3.04,NorthHeights,Condo,Excellent,District,797679.0
1657.9,5704.3,4,1959,1959,4,1.5,2.0,2.05,63.4,22.7,98.5,50.8,4.96,7.62,Hillcrest,Condo,Average,Gas,607684.0
1980.7,3365.6,6,1995,1995,1,3.0,0.0,23.98,75.5,42.4,30.3,63.2,5.23,5.43,LakeView,Detached,Average,HeatPump,752266.0
1955.1,2750.6,6,1923,1992,5,3.0,2.0,13.72,78.0,19.3,78.8,32.9,5.33,6.71,OldTown,Detached,Average,Gas,740910.0
2124.7,8164.7,8,2016,2016,4,3.0,2.0,8.56,92.3,49.6,84.5,,6.16,2.61,OldTown,Condo,Average,Gas,788897.0
1589.4,7520.7,7,2022,2022,2,1.0,3.0,3.68,71.9,43.1,94.6,67.0,4.47,5.37,NorthHeights,Detached,Average,Gas,898342.0
1404.8,,7,1978,1978,3,2.0,1.0,2.83,68.8,9.7,86.5,49.1,5.3,6.13,EastMarket,Townhouse,Good,,736486.0
1600.8,5439.1,4,1942,1942,2,2.0,3.0,5.19,57.2,12.6,87.3,34.5,4.91,6.77,WestPark,Detached,Average,HeatPump,596031.0
869.0,9090.0,5,1936,1989,7,1.5,2.0,8.62,55.1,25.8,73.2,20.2,6.45,5.75,WestPark,Condo,Average,HeatPump,362615.0
952.1,16583.5,8,1993,1993,3,1.5,0.0,14.52,77.9,14.3,58.6,54.3,5.2,7.64,EastMarket,Detached,Good,HeatPump,622222.0
998.2,4508.6,5,2004,2013,3,1.5,3.0,7.52,90.8,8.4,87.8,63.3,6.84,4.62,LakeView,Detached,Average,Gas,756319.0
1129.6,7594.5,3,1991,1991,6,2.5,1.0,3.12,,37.1,85.8,47.8,6.57,6.38,TechDistrict,Detached,Poor,Gas,391283.0
1920.7,12794.9,8,1972,1972,3,2.5,2.0,7.9,97.0,23.5,76.4,54.4,3.37,5.34,University,Townhouse,Average,Gas,1126949.0
1169.6,4519.6,5,2001,2016,7,2.0,1.0,15.5,80.8,43.4,76.0,64.2,4.21,5.32,Hillcrest,Detached,Average,Electric,568039.0
1429.1,7132.8,8,1998,2017,5,2.0,3.0,17.12,46.6,27.3,72.3,54.1,4.77,6.96,Downtown,Condo,Fair,District,581951.0
2703.3,7037.7,6,1955,1955,7,2.0,2.0,10.03,76.0,18.6,47.5,41.6,6.36,7.12,WestPark,Detached,Average,HeatPump,898652.0
1441.1,3278.2,6,2002,2009,4,3.0,1.0,8.04,43.8,27.8,43.8,52.4,6.89,6.88,NorthHeights,Detached,Good,Electric,633198.0
2183.7,7966.0,9,1939,1939,3,2.5,1.0,3.57,84.0,12.5,96.7,33.6,4.88,5.8,OldTown,Detached,Good,Gas,984587.0
1157.2,7337.6,4,2006,2006,4,2.5,1.0,6.9,56.8,24.8,91.3,71.2,3.5,5.28,Hillcrest,Detached,Good,HeatPump,626949.0
1526.1,10045.6,9,1976,1984,7,2.5,1.0,33.57,76.2,65.3,8.7,41.7,3.96,5.68,OldTown,Detached,Good,HeatPump,553940.0
1150.0,3532.3,5,1999,1999,1,2.0,0.0,8.21,55.9,48.1,90.0,58.7,5.34,4.63,SouthGate,Detached,Average,HeatPump,466195.0
1450.5,7243.2,6,1993,1993,6,1.0,1.0,2.65,74.9,24.4,77.8,62.8,5.02,4.09,Riverside,Townhouse,Fair,HeatPump,703103.0
2270.7,16496.1,6,1930,1930,4,3.0,3.0,7.76,94.3,27.6,68.8,40.9,5.78,5.01,WestPark,Townhouse,Good,HeatPump,817715.0
855.9,25042.7,5,2000,2010,2,1.0,1.0,24.95,95.4,20.1,52.8,63.9,5.3,5.06,OldTown,Townhouse,Excellent,Gas,592081.0
1946.2,15520.5,5,2003,2003,3,2.0,2.0,17.57,55.6,31.0,41.7,61.4,4.45,5.85,University,Detached,Good,HeatPump,701988.0
1806.0,3553.2,6,1925,1984,4,1.0,1.0,1.89,67.1,37.0,85.0,24.7,4.87,5.11,Riverside,Detached,Average,Electric,687307.0
1316.5,9437.7,4,1943,1943,6,2.5,2.0,15.35,75.6,28.6,56.4,23.5,5.03,5.03,Downtown,Detached,Fair,HeatPump,466062.0
952.4,5388.1,10,1999,1999,4,1.5,3.0,15.3,79.7,25.5,68.6,55.6,4.96,5.24,OldTown,Detached,Good,HeatPump,728280.0
1695.9,8537.1,5,1958,1999,2,2.0,1.0,20.76,59.7,13.7,33.0,30.1,5.37,7.42,OldTown,Detached,Excellent,Gas,588083.0
1349.3,,8,1931,1931,4,1.0,1.0,20.62,84.6,21.6,32.3,39.3,7.2,6.82,Hillcrest,Detached,Good,HeatPump,682516.0
1802.5,2575.4,8,2010,2014,3,2.5,1.0,10.38,68.0,22.4,63.3,55.4,5.87,7.37,GreenValley,Townhouse,Average,Gas,793390.0
1663.8,5855.4,7,1975,1975,1,2.5,1.0,19.78,75.1,19.4,42.1,44.4,6.21,5.68,SouthGate,Detached,Average,HeatPump,645031.0
3032.7,11107.7,6,1961,1961,4,2.0,2.0,22.34,76.6,14.2,44.8,39.1,3.86,8.73,OldTown,Detached,Excellent,Electric,787423.0
1506.5,8558.1,7,1978,1978,5,1.5,1.0,10.65,73.4,46.8,56.2,46.0,5.16,5.86,SouthGate,Condo,Fair,Electric,619612.0
1118.3,9169.2,7,1962,1962,6,2.5,1.0,16.55,61.4,16.8,54.3,55.9,8.81,7.19,Downtown,Duplex,Good,Gas,599748.0
1766.3,8198.0,6,1933,1933,4,2.0,1.0,5.84,68.2,25.0,72.8,34.8,5.68,5.8,EastMarket,Townhouse,Excellent,HeatPump,674912.0
1793.9,9177.9,4,1979,2007,4,2.5,2.0,13.6,71.4,15.4,59.9,46.6,5.68,4.09,SouthGate,Condo,Average,HeatPump,573211.0
2765.6,9892.6,3,2022,2022,5,1.5,1.0,21.12,57.7,17.7,54.2,70.3,4.92,4.65,GreenValley,Detached,Average,Gas,797697.0
2266.2,6106.0,9,2020,2020,4,2.0,2.0,26.38,79.0,18.5,47.5,,5.76,6.07,WestPark,Townhouse,Excellent,Gas,1005663.0
1889.6,7567.1,2,1987,1992,3,2.5,1.0,9.74,66.0,16.2,71.1,45.0,5.77,4.48,Downtown,Townhouse,Average,Gas,519148.0
2877.2,20492.0,7,1937,1937,3,2.0,2.0,11.26,81.2,50.5,83.1,41.9,7.49,9.47,Downtown,Detached,Good,Gas,966610.0
1050.3,7840.5,6,1943,2010,3,1.5,1.0,2.43,67.1,27.4,69.0,47.0,6.17,6.17,EastMarket,Townhouse,Good,HeatPump,504175.0
1293.9,7386.2,6,1953,2007,5,1.5,3.0,5.25,59.1,14.8,84.7,58.9,6.31,5.02,Hillcrest,Detached,Fair,District,659583.0
1160.3,7658.5,4,1925,1982,4,1.5,2.0,11.48,68.0,24.0,84.2,30.7,4.5,5.83,GreenValley,Condo,Average,Gas,489657.0
1422.8,6317.6,7,1934,1934,7,2.5,2.0,19.48,66.8,28.1,45.3,14.9,4.84,4.8,LakeView,Detached,Good,Electric,720132.0
977.9,5544.8,7,2002,2017,7,2.0,1.0,1.28,57.2,38.2,100.0,41.2,4.67,5.03,OldTown,Detached,Fair,Gas,597029.0
2100.4,8160.4,10,1965,1965,5,2.0,1.0,10.89,60.2,17.8,66.1,51.8,3.99,3.18,Hillcrest,Detached,Average,Gas,1093679.0
1516.4,5315.6,6,2009,2015,5,3.0,3.0,7.87,72.6,20.9,78.2,69.1,4.66,4.49,GreenValley,Detached,Good,HeatPump,536008.0
943.5,6598.0,8,1926,1976,4,1.5,2.0,3.32,56.4,9.1,82.5,24.9,4.32,4.96,OldTown,Detached,Good,Electric,665924.0
1121.7,4480.7,4,1929,1999,5,2.0,3.0,5.47,79.9,23.5,61.7,12.6,6.2,5.06,SouthGate,Detached,Good,Electric,459810.0
1858.8,7682.1,8,1993,1993,6,1.5,2.0,35.0,65.9,48.0,13.4,63.5,5.01,6.7,OldTown,Detached,Average,Electric,616451.0
2268.8,10222.6,7,1947,1995,6,2.0,2.0,4.75,50.6,37.6,87.7,46.3,4.88,6.59,EastMarket,Detached,Good,Gas,1031350.0
3523.8,6340.3,7,1943,1989,5,3.0,-0.0,6.16,89.3,40.2,68.9,30.0,4.45,6.22,LakeView,Detached,Fair,Gas,1147975.0
4993.0,2157.7,7,1988,2025,3,3.5,2.0,11.15,68.6,15.3,64.1,59.4,4.84,7.05,Downtown,Detached,Average,HeatPump,1450533.0
1931.4,10260.5,9,2016,2016,5,1.5,3.0,13.02,77.4,34.4,56.9,54.7,7.24,5.02,WestPark,Townhouse,Average,Gas,981917.0
1132.9,7738.4,7,1964,1989,2,1.0,3.0,4.18,59.0,18.4,91.0,49.0,7.65,5.83,Downtown,Detached,Fair,HeatPump,349686.0
733.9,3967.5,5,2000,2006,2,1.5,0.0,2.8,79.6,29.2,95.6,,6.37,5.4,GreenValley,Condo,Average,District,491441.0
1826.7,11450.6,5,1956,1956,2,2.0,0.0,20.73,63.0,23.0,40.8,57.3,5.67,8.67,Riverside,Detached,Good,District,585718.0
1211.5,3111.3,8,2008,2008,3,1.0,2.0,4.74,48.6,39.1,72.3,76.9,4.74,4.57,SouthGate,Detached,Good,Electric,709050.0
1409.1,13481.6,7,1964,1990,3,3.0,2.0,8.22,67.0,49.4,86.3,56.7,5.51,4.81,EastMarket,Detached,Poor,Gas,752174.0
1307.6,6956.4,4,1936,1936,5,2.0,0.0,5.44,70.7,7.1,78.1,31.6,6.67,4.95,Downtown,Detached,Average,Electric,579470.0
1564.0,1845.5,7,1973,1973,3,1.0,2.0,11.32,60.9,18.2,82.3,51.0,3.9,3.74,GreenValley,Townhouse,Good,Gas,689492.0
2474.0,8013.1,4,1951,1951,1,2.5,1.0,6.35,45.7,6.7,66.2,48.6,4.02,5.77,WestPark,Detached,Good,Gas,811698.0
1751.5,5642.7,7,1939,1939,1,1.0,1.0,11.24,,26.7,70.6,32.1,5.86,6.38,University,Condo,Average,Gas,669089.0
1553.5,5155.0,5,1939,1939,3,1.5,1.0,5.9,89.1,14.5,68.0,27.5,6.03,7.81,Hillcrest,Detached,Poor,Electric,625643.0
1113.2,4624.9,6,1961,2022,5,2.0,1.0,21.37,84.9,44.6,34.4,44.8,6.19,6.8,University,Duplex,Excellent,Gas,823814.0
873.2,6670.9,5,1921,1921,6,1.0,1.0,19.74,81.0,34.9,57.3,29.2,3.7,8.33,SouthGate,Townhouse,Good,District,370839.0
1371.6,5381.5,9,1927,1981,5,1.0,1.0,6.3,87.6,32.4,62.7,15.8,5.06,5.61,WestPark,Detached,Average,District,695859.0
1616.6,2363.3,7,1982,1982,3,2.5,3.0,13.66,68.3,14.9,65.9,50.5,5.49,3.25,University,Townhouse,Average,HeatPump,824233.0
3230.3,,8,1920,2023,4,2.5,3.0,11.1,66.2,33.3,77.3,11.6,4.96,5.87,OldTown,Detached,Excellent,Gas,1164473.0
1733.7,6218.1,10,2001,2001,1,1.5,3.0,2.91,80.9,20.0,86.6,77.2,4.77,5.7,Riverside,Condo,Average,Gas,1149127.0
2397.0,4641.0,6,2023,2023,7,2.0,1.0,3.13,77.7,11.2,84.0,44.7,4.71,7.7,WestPark,Detached,Average,,902338.0
1364.8,3658.4,9,1939,1939,5,2.5,1.0,5.61,60.4,27.4,88.1,21.9,6.22,7.27,Hillcrest,Detached,Good,District,787656.0
1051.8,11433.2,5,1925,2001,1,2.0,0.0,15.03,63.1,24.3,34.4,38.0,3.53,3.96,OldTown,Townhouse,Average,Gas,460962.0
1143.4,3303.6,8,1942,1942,2,1.0,2.0,6.78,89.6,32.6,94.1,37.5,6.53,5.27,Riverside,Detached,Good,Gas,745210.0
1252.6,7802.7,5,1924,1924,2,2.5,1.0,1.94,74.2,5.7,93.0,19.2,4.8,6.87,EastMarket,Detached,Fair,Electric,521757.0
3704.7,5072.8,6,1948,1993,1,2.5,3.0,4.16,79.9,15.5,84.9,52.7,5.11,5.75,LakeView,Detached,Average,District,1019469.0
1207.6,5253.2,7,2014,2014,5,1.5,2.0,6.61,40.6,12.2,72.8,59.1,5.33,4.27,EastMarket,Condo,Average,District,651989.0
2269.1,3713.4,7,2006,2006,7,1.5,2.0,28.1,73.6,22.3,30.8,68.9,6.46,7.54,OldTown,Condo,Good,Gas,808051.0
1170.8,4962.4,4,2023,2023,2,1.5,1.0,7.82,64.6,47.8,94.3,100.0,7.36,6.56,NorthHeights,Townhouse,Good,Gas,583988.0
2350.8,7238.2,5,2006,2016,2,2.0,,8.66,51.2,14.5,83.6,68.7,6.91,8.07,LakeView,Detached,Excellent,HeatPump,879744.0
1909.9,8291.8,7,2009,2014,4,2.0,-0.0,9.54,75.2,9.1,55.8,64.2,4.58,4.1,LakeView,Detached,Fair,Electric,881888.0
1554.7,4493.9,6,1982,1982,2,3.0,2.0,14.03,82.8,26.6,48.2,47.9,4.22,6.68,Downtown,Condo,Average,HeatPump,655043.0
1624.6,6817.7,4,1934,1934,4,1.0,1.0,10.97,59.9,25.0,69.0,40.0,4.15,3.48,TechDistrict,Duplex,Average,Gas,536324.0
1286.5,12270.0,6,2001,2005,4,1.5,2.0,6.49,74.1,13.8,64.6,78.7,3.27,7.66,OldTown,Detached,Average,HeatPump,764059.0
1954.8,2655.2,6,1987,1987,3,1.0,2.0,12.95,62.9,10.6,50.6,41.9,5.55,5.56,Hillcrest,Detached,Average,Electric,658631.0
1388.0,7173.0,7,2021,2021,4,1.5,1.0,7.95,74.7,29.4,76.0,85.0,6.35,4.85,WestPark,Townhouse,Good,HeatPump,921110.0
1035.7,4069.9,7,1993,1998,5,2.0,2.0,6.77,47.1,5.2,78.0,76.2,6.83,4.56,Hillcrest,Condo,Good,Gas,630464.0
1015.3,3828.5,7,1977,1985,3,2.5,3.0,8.32,60.7,13.8,75.2,47.4,6.62,5.52,WestPark,Townhouse,Good,HeatPump,653590.0
